source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,market_segment,price_band,quality_flags
mercadolibre,MLM-4826705116,https://casa.mercadolibre.com.mx/MLM-4826705116-casa-en-fraccionamiento-el-paraje-amplia-iluminada-ubicada-t-900-c-470-4-recamaras-2-12-banos-4-estacionamientos-cocina-integral-equipada-alberca-bungalow-jardn-en-jiutepec-morelos-_JM,7000000.0,MXN,casa,906.0,477.0,4,2.0,4,,14675.05,,,,unusable,Morelos,Jiutepec,Conjunto La Loma,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,5M-8M,missing_coordinates
mercadolibre,MLM-3279323931,https://casa.mercadolibre.com.mx/MLM-3279323931-casa-con-2-recamaras-y-amenidades-en-exclusivo-desarrollo-_JM,1500000.0,MXN,casa,74.0,82.0,2,2.0,1,,18292.68,,,,medium,Morelos,Xochitepec,Colinas de Santa Fe,,,,unusable,,,,,,,,,3,132,1,56,1,25,0,3,0,3,0,0,0,3,D,residential,1M-2M,missing_coordinates
mercadolibre,MLM-2858219567,https://casa.mercadolibre.com.mx/MLM-2858219567-casa-en-venta-paraiso-country-club-_JM,8700000.0,MXN,casa,508.0,447.0,4,3.0,3,,19463.09,,,,medium,Morelos,Emiliano Zapata,Emiliano Zapata,,,0038,approximate_coordinate,4664.0,1272.0,11925.068484559137,3252.2914048797647,0.2940251572327044,0.5345911949685535,9.3,0.9810126582278481,788,1784,414,892,76,207,33,62,17,30,6,12,13,23,B,residential,8M-12M,missing_coordinates
mercadolibre,MLM-2470937067,https://casa.mercadolibre.com.mx/MLM-2470937067-casa-burgos-cuernavaca-_JM,10850000.0,MXN,casa,680.0,360.0,3,4.0,4,,30138.89,,,,medium,Morelos,Temixco,Burgos,,,0918,approximate_coordinate,471.0,152.0,5847.590513522652,1887.1205054255693,0.39473684210526316,0.6578947368421053,11.27,1.0,33,199,14,105,1,20,1,4,4,8,0,0,1,3,B,residential,8M-12M,missing_coordinates
mercadolibre,MLM-5497313726,https://casa.mercadolibre.com.mx/MLM-5497313726-casa-en-ayala-morelos-amplia-y-moderna-con-jardin-cerca-del-club-de-golf-_JM,3750000.0,MXN,casa,450.0,170.0,3,3.0,3,,22058.82,,,,unusable,Morelos,Ayala,Paraíso Tlahuica,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,3M-5M,missing_coordinates
mercadolibre,MLM-4761612978,https://casa.mercadolibre.com.mx/MLM-4761612978-casa-en-venta-en-lomas-de-cortes-_JM,8890000.0,MXN,casa,604.0,506.0,4,4.0,4,,17569.17,,,,medium,Morelos,Cuernavaca,Lomas De Cortes,,,0717,approximate_coordinate,4653.0,1465.0,6525.631889820488,2054.5993377577943,0.6621160409556314,0.8552901023890785,12.51,0.9622166246851386,266,1045,86,372,46,175,14,66,15,39,4,10,10,36,B,residential,8M-12M,missing_coordinates
mercadolibre,MLM-3233382991,https://casa.mercadolibre.com.mx/MLM-3233382991-casa-en-venta-en-lomas-de-cocoyoc-_JM,7950000.0,MXN,casa,471.0,305.0,4,4.0,4,,26065.57,,,,medium,Morelos,Atlatlahucan,Lomas De Cocoyoc,,,0138,approximate_coordinate,973.0,397.0,335.65998876705885,136.9547950056756,0.924433249370277,0.9420654911838791,14.18,0.972568578553616,46,49,16,16,15,15,1,1,0,1,0,0,0,0,B,residential,5M-8M,missing_coordinates
mercadolibre,MLM-2745386149,https://casa.mercadolibre.com.mx/MLM-2745386149-casa-en-cuautla-mor-_JM,1900000.0,MXN,casa,145.0,155.0,3,3.0,3,,12258.06,,,,low,Morelos,Cuautla,Brisas De Cuautla,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,1M-2M,missing_coordinates
mercadolibre,MLM-3289901267,https://casa.mercadolibre.com.mx/MLM-3289901267-venta-de-casa-de-campo-en-venta-en-yautepec-terreno-de-1000-m-_JM,1800000.0,MXN,casa,1000.0,120.0,2,3.0,3,,15000.0,,,,medium,Morelos,Yautepec,San Carlos,,,0470,approximate_coordinate,1069.0,344.0,2523.948006277994,812.1965520670065,0.46511627906976744,0.5784883720930233,11.19,0.9732620320855615,297,1815,123,846,33,219,22,88,9,49,3,22,6,41,B,residential,1M-2M,"missing_coordinates,suspicious_surface_pair"
mercadolibre,MLM-5338603714,https://casa.mercadolibre.com.mx/MLM-5338603714-casa-en-condominio-en-lomas-de-jiutepec-_JM,2950000.0,MXN,casa,107.0,140.0,4,3.0,3,,21071.43,,,,unusable,Morelos,Jiutepec,,,,,unusable,,,,,,,,,,,,,,,,,,,,,,,E,residential,2M-3M,missing_coordinates
