source,source_id,url,price,currency,property_type,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,age_years,price_per_construction_m2,price_per_land_m2,latitude,longitude,coordinate_quality,state,municipality,neighborhood,postal_code,street,inegi_cve_ageb,ageb_assignment_quality,population,occupied_housing,population_density,housing_density,car_ownership_ratio,internet_access_ratio,average_schooling,employment_ratio,establishments_500m,establishments_1km,retail_500m,retail_1km,restaurants_hotels_500m,restaurants_hotels_1km,health_500m,health_1km,education_500m,education_1km,financial_500m,financial_1km,professional_services_500m,professional_services_1km,training_readiness,quality_flags,experiment_frozen_at,duplicate_group_id
mercadolibre,MLM-5428243280,https://terreno.mercadolibre.com.mx/MLM-5428243280-terreno-en-venta-en-cuautla-_JM,1350000.0,MXN,terreno,423.0,,,,,,,3191.49,,,medium,Morelos,Cuautla,Hermenegildo Galeana,,,0476,approximate_coordinate,2592.0,802.0,6350.453763750154,1964.9166352344228,0.4077306733167082,0.6458852867830424,11.07,0.9784122562674096,497,1496,178,557,78,259,40,95,12,43,2,18,13,25,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|1350000.0|cuautla|hermenegildo galeana|423.0|||
mercadolibre,MLM-5347925596,https://terreno.mercadolibre.com.mx/MLM-5347925596-terreno-en-venta-en-lomas-de-ahuatlan-cuernavaca-morelos-_JM,2376582.0,MXN,terreno,449.0,,,,,,,5293.06,,,medium,Morelos,Cuernavaca,Lomas De Ahuatlan,,,1537,approximate_coordinate,1676.0,598.0,18239.29130049499,6507.813960439144,0.717391304347826,0.8963210702341137,13.8,0.9688841201716738,129,452,44,172,27,72,4,19,1,12,1,1,6,11,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|2376582.0|cuernavaca|lomas de ahuatlan|449.0|||
mercadolibre,MLM-2643948247,https://departamento.mercadolibre.com.mx/MLM-2643948247-departamento-penthouse-en-venta-en-lomas-de-cortes-_JM,3950000.0,MXN,departamento,90.0,95.0,2.0,2.0,2.0,,41578.95,,,,medium,Morelos,Cuernavaca,Lomas De Cortes,,,0717,approximate_coordinate,4653.0,1465.0,6525.631889820488,2054.5993377577943,0.6621160409556314,0.8552901023890785,12.51,0.9622166246851386,266,1045,86,372,46,175,14,66,15,39,4,10,10,36,B,missing_coordinates,2026-08-18T15:09:03+00:00,mercadolibre|3950000.0|cuernavaca|lomas de cortes|90.0|95.0|2.0|2.0
mercadolibre,MLM-3054010939,https://departamento.mercadolibre.com.mx/MLM-3054010939-bonito-departamento-2-recamaras-con-piscina-street-gym-y-pet-park-en-yautepec-_JM,1262500.0,MXN,departamento,69.0,75.0,2.0,2.0,1.0,,16833.33,,,,medium,Morelos,Yautepec,Felipe Neri,,,0502,approximate_coordinate,4591.0,1380.0,4856.398831602696,1459.775732435574,0.4608695652173913,0.586231884057971,10.47,0.9813084112149532,236,659,88,249,42,89,11,26,7,14,1,6,2,11,B,missing_coordinates,2026-08-18T15:09:03+00:00,mercadolibre|1262500.0|yautepec|felipe neri|69.0|75.0|2.0|2.0
mercadolibre,MLM-5229571946,https://departamento.mercadolibre.com.mx/MLM-5229571946-penthouses-en-morelos-con-alberca-900000-aplica-para-credi-_JM,1200000.0,MXN,departamento,10.0,80.0,1.0,1.0,1.0,,15000.0,,,,medium,Morelos,Jiutepec,Progreso,,,0067,approximate_coordinate,3675.0,1094.0,3309.5309493047475,985.2045873576582,0.5246800731261426,0.6709323583180987,10.74,0.969558599695586,123,616,49,295,14,67,4,17,4,13,0,0,1,2,B,"missing_coordinates,suspicious_surface_pair",2026-08-18T15:09:03+00:00,mercadolibre|1200000.0|jiutepec|progreso|10.0|80.0|1.0|1.0
mercadolibre,MLM-5338577512,https://departamento.mercadolibre.com.mx/MLM-5338577512-departamento-en-san-miguel-acapantzingo-_JM,7890000.0,MXN,departamento,363.0,,0.0,3.0,3.0,,,,,,medium,Morelos,Cuernavaca,San Miguel Acapantzingo,,,0416,approximate_coordinate,5741.0,1841.0,5881.919538448441,1886.1894914272043,0.5681694731124389,0.7566539923954373,11.55,0.9880331389996933,366,847,112,276,56,127,16,52,13,34,2,4,19,56,C,"missing_construction_area,missing_coordinates",2026-08-18T15:09:03+00:00,mercadolibre|7890000.0|cuernavaca|san miguel acapantzingo|363.0||0.0|3.0
mercadolibre,MLM-5759035700,https://departamento.mercadolibre.com.mx/MLM-5759035700-departamento-en-venta-149-m2-3-recamaras-3-banos-completos-_JM,3750000.0,MXN,departamento,149.0,149.0,3.0,3.0,3.0,,25167.79,,,,medium,Morelos,Temixco,Burgos,,,0918,approximate_coordinate,471.0,152.0,5847.590513522652,1887.1205054255693,0.3947368421052631,0.6578947368421053,11.27,1.0,33,199,14,105,1,20,1,4,4,8,0,0,1,3,B,"missing_coordinates,same_land_and_construction_area",2026-08-18T15:09:03+00:00,mercadolibre|3750000.0|temixco|burgos|149.0|149.0|3.0|3.0
mercadolibre,MLM-5439223548,https://departamento.mercadolibre.com.mx/MLM-5439223548-dos-departamentos-remodelados-en-venta-parador-hacienda-san-_JM,2700000.0,MXN,departamento,186.0,186.0,2.0,3.0,3.0,,14516.13,,,,medium,Morelos,Jiutepec,Emiliano Zapata,,,0067,approximate_coordinate,3675.0,1094.0,3309.5309493047475,985.2045873576582,0.5246800731261426,0.6709323583180987,10.74,0.969558599695586,19,523,9,246,2,62,1,19,1,13,0,0,0,2,B,"missing_coordinates,same_land_and_construction_area",2026-08-18T15:09:03+00:00,mercadolibre|2700000.0|jiutepec|emiliano zapata|186.0|186.0|2.0|3.0
mercadolibre,MLM-2720564119,https://departamento.mercadolibre.com.mx/MLM-2720564119-departamento-en-venta-en-tetela-cuernavaca-_JM,2500000.0,MXN,departamento,225.0,150.0,3.0,2.0,2.0,,16666.67,,,,medium,Morelos,Cuernavaca,Tetela Del Monte,,,051A,approximate_coordinate,6076.0,1649.0,2685.5540217268144,728.8476928616716,0.4329896907216495,0.6300788356579745,10.09,0.9791542584871948,233,520,133,304,31,61,8,14,1,12,1,1,2,8,B,missing_coordinates,2026-08-18T15:09:03+00:00,mercadolibre|2500000.0|cuernavaca|tetela del monte|225.0|150.0|3.0|2.0
mercadolibre,MLM-5376528522,https://departamento.mercadolibre.com.mx/MLM-5376528522-departamento-santa-fe-lifestyle-xochitepec-morelos-_JM,2350000.0,MXN,departamento,96.0,96.0,5.0,2.0,2.0,,24479.17,,,,medium,Morelos,Xochitepec,Atlacholoaya,,,0473,approximate_coordinate,4533.0,1113.0,3774.834020422152,926.8454146767824,0.316262353998203,0.2407906558849955,7.74,0.9912971404890178,202,236,100,115,22,24,4,6,4,7,0,0,1,1,B,"missing_coordinates,same_land_and_construction_area",2026-08-18T15:09:03+00:00,mercadolibre|2350000.0|xochitepec|atlacholoaya|96.0|96.0|5.0|2.0
