source_id,property_type,price,land_area_m2,construction_area_m2,bedrooms,bathrooms,parking_spaces,latitude,longitude,municipality,neighborhood,inegi_cve_ageb
MLM-5058300014,departamento,1250000.0,44.0,44.0,3,2.0,1.0,19.4873042,-99.0873952,Gustavo A. Madero,La Esmeralda,3337
MLM-5926022074,casa,1950000.0,40.0,90.0,3,3.0,1.0,19.4843869,-99.1048077,Gustavo A. Madero,Martín Carrera,1468
MLM-6011814226,departamento,2950000.0,67.0,67.0,2,2.0,2.0,19.5129933,-99.1522732,Gustavo A. Madero,Nueva Industrial Vallejo,0525
MLM-5352890362,casa,11000000.0,200.0,220.0,4,4.0,4.0,19.495379,-99.141747,Gustavo A. Madero,Planetario Lindavista,0934
MLM-5030586078,casa,6370000.0,138.0,391.0,9,3.0,3.0,19.4785468,-99.070034,Gustavo A. Madero,Providencia,1701
MLM-3290568393,casa,10200000.0,147.0,347.0,3,5.0,5.0,19.4933278,-99.1413426,Gustavo A. Madero,San Bartolo Atepehuacan,0934
MLM-2981209575,casa,4990000.0,126.0,215.0,4,2.0,2.0,19.4725481,-99.087395,Gustavo A. Madero,San Juan de Aragón VI Sección,3074
MLM-2694749949,casa,15000000.0,703.0,252.0,3,3.0,3.0,19.4998868,-99.1156771,Gustavo A. Madero,Santa Isabel Tola,0775
MLM-5981232970,departamento,2040000.0,49.0,49.0,2,2.0,1.0,19.5004436,-99.0951455,Gustavo A. Madero,Santiago Atzacoalco,3163
MLM-5438731438,casa,11500000.0,300.0,200.0,4,2.0,2.0,19.5146249,-99.1430217,Gustavo A. Madero,Siete Maravillas,338A
MLM-6046848534,casa,3150000.0,142.0,134.0,3,3.0,1.0,19.5337832,-99.1536919,Gustavo A. Madero,Solidaridad Nacional,2786
MLM-5969788840,casa,6950000.0,162.0,343.0,11,6.0,6.0,19.4807706,-99.1197036,Gustavo A. Madero,Tepeyac Insurgentes,1275
MLM-5235669228,casa,4450000.0,122.0,315.0,3,3.0,3.0,19.4616807,-99.061347,Gustavo A. Madero,Villa De Aragón,2165
MLM-2845850875,casa,4800000.0,139.0,240.0,5,3.0,3.0,19.391648,-99.0870653,Iztacalco,El Rodeo,0490
