codigo_act,latitud,longitud
221312,19.43484074,-99.10790941
221312,19.28844253,-99.11423589
221312,19.2728052,-99.03972193
221312,19.3797462,-99.03715138
221312,19.31505104,-99.27371202
221312,19.31575814,-99.27330188
221312,19.46601049,-99.14033231
221312,19.35620989,-99.13402557
221312,19.41501049,-99.07353344
221312,19.2833245,-99.18264783
221312,19.2737634,-98.99950968
221312,19.37982876,-99.03720461
221312,19.25064717,-99.07034982
221312,19.31751728,-99.2693968
221312,19.45410486,-99.10115334
221312,19.37367557,-99.0515192
221312,19.2906757,-99.0127555
221312,19.30320182,-99.16972211
221312,19.57321842,-99.13661899
221312,19.34521196,-99.02084576
221312,19.26104443,-99.09903725
221312,19.43023365,-99.05340865
221312,19.31460804,-99.04390148
221312,19.29146807,-99.24965536
221312,19.26448802,-98.99409469
221312,19.51032901,-99.19122145
221312,19.26075347,-99.03691636
221312,19.26095883,-99.03690701
221312,19.41641725,-99.23364669
221312,19.23353757,-99.19387266
221312,19.24745378,-99.10103206
221312,19.25484353,-99.07212003
221312,19.42258257,-99.20075309
221312,19.2305686,-98.9832112
221312,19.45579269,-99.09788385
221312,19.27580639,-99.04773763
221312,19.45258547,-99.14100094
221312,19.45239008,-99.14073299
221312,19.28671719,-99.12686985
221312,19.25069153,-98.99647113
221113,19.42486983,-99.20500411
221312,19.33707885,-99.07476816
221312,19.34678644,-98.98638505
221312,19.34971512,-98.99651203
221312,19.35456675,-99.0747898
221312,19.31357972,-99.06597507
221312,19.28376866,-99.03992405
221312,19.24828102,-99.0176056
221312,19.35435382,-99.01515274
221312,19.41020413,-99.1014078
221312,19.49938759,-99.07539422
221312,19.38794849,-99.07511551
221312,19.34678786,-98.98639174
221312,19.30146647,-99.02624962
221312,19.33881229,-99.02964612
221312,19.52851236,-99.17038689
221312,19.48105355,-99.09677866
221312,19.3417846,-99.00901975
221312,19.35726862,-99.07238176
221312,19.28888889,-99.26444444
221312,19.2434768,-99.01354246
221312,19.30204445,-99.02595253
221312,19.47846918,-99.15137207
221312,19.36273193,-99.06627121
221312,19.34535814,-99.0206024
221312,19.33093802,-99.06600695
221312,19.30720873,-99.21669366
221312,19.32813074,-99.15249027
221312,19.22092909,-99.00004632
221312,19.42844284,-99.21939228
221312,19.40588238,-99.14067968
221312,19.32571293,-99.12667356
221312,19.37318658,-99.23192839
221312,19.33359243,-99.12200759
221312,19.43314655,-99.17291147
221312,19.21700209,-98.99496707
221312,19.34864215,-99.22831394
221312,19.27455391,-99.18684291
221312,19.29619197,-99.15586723
221312,19.41584359,-99.12012355
221312,19.29553079,-99.25293457
221312,19.29821154,-99.24515461
221312,19.33626566,-99.19442763
221312,19.33174305,-99.1515721
221312,19.36316555,-99.06663848
221312,19.32249514,-99.10266243
221312,19.18547673,-98.99720972
221312,19.37907641,-99.08624147
221312,19.25516477,-99.03942981
221312,19.25309999,-99.06913202
221312,19.39756829,-99.20416842
221312,19.23393308,-99.09260325
221312,19.37576598,-99.26493781
221312,19.21165404,-98.97107003
221312,19.29972914,-99.2095114
221312,19.31169777,-99.21837055
221312,19.36652085,-99.20522099
221312,19.24215734,-99.05604205
