ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0643,000,8559,2298,835,1567,10.69,4937,4833
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0658,000,10461,2848,1170,2095,10.97,5607,5485
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0662,000,5469,1605,597,1123,10.84,3252,3186
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0677,000,8113,2537,1454,2081,12.52,4671,4557
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0681,000,4561,1462,903,1224,13.01,2590,2549
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0696,000,2382,873,677,798,14.71,1435,1402
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0709,000,3117,1085,711,921,13.23,1731,1682
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0713,000,4685,1449,1165,1288,14.08,2031,1954
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0728,000,3836,1250,971,1109,14.18,1938,1895
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0770,000,326,144,100,136,14.9,213,210
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0785,000,11640,3351,1010,2452,10.53,6814,6705
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,079A,000,9058,2405,718,1594,10.07,4970,4861
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0802,000,13042,3624,1159,2438,10.17,7200,7092
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0817,000,10152,3012,1153,2166,11.1,5633,5505
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0821,000,5221,1501,627,1054,11.06,2899,2848
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0836,000,6381,1836,767,1256,11.14,3468,3361
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0840,000,6633,1894,814,1375,11.39,3664,3549
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0855,000,2696,807,465,651,12.62,1473,1444
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,086A,000,2670,928,693,816,13.64,1472,1423
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0889,000,2647,916,786,847,14.44,1262,1216
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0893,000,1749,583,519,535,14.85,876,849
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0906,000,3324,1130,746,981,13.64,1709,1679
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,093A,000,1211,407,364,387,14.92,651,637
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0959,000,4224,1153,377,747,10.16,2206,2135
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0963,000,6516,1842,804,1322,11.26,3952,3884
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0978,000,8080,2245,877,1665,11,4470,4365
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0982,000,6525,1884,790,1455,11.27,3789,3689
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,0997,000,9422,2623,1083,1953,11.13,5341,5173
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1001,000,6521,1751,643,1235,10.98,3598,3491
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1016,000,6606,1763,717,1247,10.26,3609,3513
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1020,000,4471,1518,1019,1323,13.75,2455,2392
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1069,000,1633,536,485,507,14.8,779,732
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1073,000,1616,516,456,488,14.65,802,775
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1092,000,5787,1823,1595,1744,13.64,2839,2767
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1105,000,2795,841,812,817,15.02,1580,1546
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1124,000,5743,1798,1033,1366,12.28,3284,3228
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1139,000,691,231,168,210,14.54,394,387
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1143,000,540,178,149,164,14.92,275,269
09,Ciudad de México,003,Coyoacán,0001,Total AGEB urbana,1158,000,8986,2455,1009,1864,11.23,5111,4968
