codigo_act,latitud,longitud
221312,18.83618598,-99.19862281
221312,18.83391393,-99.22543645
221312,18.80374689,-99.18950862
221312,18.76596891,-99.18174238
221312,18.87779053,-98.93625135
221312,18.80038547,-99.19440069
221312,18.9107447,-99.21053155
221312,18.93852284,-99.23250559
221312,18.87020764,-99.18848651
221312,18.87324794,-99.17506219
221312,18.90837787,-99.14994666
221312,18.91215176,-99.20301468
221312,18.8966299,-99.15749595
221312,18.85013728,-99.23730988
221312,18.93512246,-99.18206179
221312,18.90880002,-99.16620884
221312,18.95743294,-99.23074089
221312,18.91095086,-99.18246688
221312,18.82269078,-98.92933504
221312,18.93055457,-99.23167168
221311,18.87090232,-98.91880484
221312,18.94931493,-99.22261396
221312,18.92064837,-99.18488129
221311,18.91701689,-99.17067419
221312,18.96193949,-99.26443461
221111,18.91383444,-99.1711972
221312,18.94959845,-99.24470579
221312,18.93346816,-99.23056953
221312,18.95063781,-99.23378715
221312,18.72858234,-99.39998966
221312,19.05184594,-99.24218435
221312,18.89121261,-99.0255829
221312,18.81894459,-99.24010922
221312,18.78436663,-98.76559195
221312,18.77233514,-98.77803388
221312,18.61683783,-99.21535682
221312,18.68068847,-98.80342288
221312,18.89148489,-99.12581908
221312,18.89297867,-98.97696695
221312,18.74090194,-99.25879785
221312,18.60026235,-99.36963201
221311,18.71256655,-99.18175405
221312,18.74396188,-99.22610075
221311,18.66414816,-99.20212279
221311,18.86693736,-98.9293594
221311,18.67217648,-99.18717548
221311,18.66610702,-99.20410826
221312,18.80027393,-99.22985228
221312,18.91431561,-98.97100771
221312,18.88544084,-98.98142206
221312,18.86654578,-99.20935572
221312,18.71525859,-98.77722522
221311,18.88940286,-99.1943908
221311,18.84160866,-98.94186302
221312,18.61504285,-99.3457313
221312,18.97181817,-99.14231662
221312,18.73101054,-98.95640786
221312,18.61157444,-99.26042034
221311,18.76231249,-99.11892091
221311,18.90334604,-99.17873271
221312,18.59792993,-99.18592428
221312,18.98639223,-99.10115614
221312,18.77630765,-99.23136654
221311,18.70035931,-99.18396154
221311,18.68135656,-99.18625735
221311,18.57934597,-99.18023557
221311,18.8670408,-98.92521889
221311,18.57081175,-99.26895467
221311,18.60771238,-99.18477867
221312,18.88241753,-98.85456038
221312,18.81997134,-99.24279209
221312,18.93940968,-99.23869628
221312,18.91453083,-99.23615436
221312,18.91327616,-99.23773077
221312,18.94618011,-99.1982063
221312,18.93681501,-99.23802824
221312,18.92597959,-99.20789261
221312,18.74409794,-99.4347058
221312,18.61438753,-99.17770606
221312,18.84518388,-99.24181403
221311,18.88441585,-99.15399004
221312,18.76971938,-99.36036024
221312,18.89105099,-99.06076004
221311,18.67672388,-99.13098243
221312,18.90769741,-98.96977203
221312,18.93869646,-99.22979923
221312,18.87232582,-99.2534012
221312,18.64251959,-99.20641595
221312,18.93827971,-98.89963534
221312,18.88795049,-99.14792352
221312,18.88022986,-99.176002
221312,18.88186707,-99.16109148
221312,18.88843119,-99.15934835
221312,18.93289265,-99.17897494
221312,18.90837821,-99.1499478
221312,18.86702932,-99.16663316
221312,18.88821493,-99.15959321
221312,18.89770282,-99.17472556
221312,18.85958595,-99.17709345
221312,18.9011553,-99.20589118
221312,18.88917364,-99.20463262
221312,18.86984323,-99.18832009
221312,18.89348813,-99.18149556
221312,18.91515503,-99.15755207
221312,18.89684237,-99.17425947
221312,18.8825882,-99.17797373
221312,18.87592369,-99.20608471
221312,18.89087242,-99.17733112
221312,18.89654975,-99.16959443
