ENTIDAD,MUN,LOC,AGEB,MZA,POBTOT,TVIVHAB,VPH_AUTOM,VPH_INTER,GRAPROES,PEA,POCUPADA
17,006,0001,0851,000,2057,565,171,258,9.2,1169,1146
17,006,0001,0870,000,65,20,11,11,9.49,31,30
17,006,0001,0885,000,20,6,*,4,9.6,10,9
17,006,0001,089A,000,176,48,16,21,8.35,80,75
17,006,0001,0902,000,783,211,86,105,8.68,394,385
17,006,0001,0917,000,119,27,7,8,7.44,50,49
17,006,0001,0936,000,324,81,29,39,8.09,152,150
17,006,0001,0940,000,338,88,31,32,7.95,170,169
17,006,0001,0955,000,1531,387,143,233,8.83,808,798
17,006,0001,096A,000,44,13,3,*,6.73,28,26
17,006,0001,0974,000,108,30,9,5,7.3,51,51
17,006,0001,0989,000,119,31,5,8,6.31,72,72
17,006,0001,0993,000,128,36,17,26,10.67,72,71
17,006,0001,1008,000,292,79,28,46,10.24,151,146
17,006,0001,1012,000,678,166,39,57,8,328,320
17,006,0001,1027,000,642,213,147,166,13.39,369,365
17,006,0001,1031,000,88,22,9,15,7.21,38,37
17,006,0001,1046,000,190,44,20,15,8.61,94,94
17,006,0001,1050,000,31,9,5,7,8.5,13,12
17,006,0001,1065,000,1028,287,84,111,9.1,563,563
17,006,0001,107A,000,2311,748,395,582,12.49,1206,1167
17,006,0001,1084,000,1974,594,272,400,11.04,1051,1043
17,006,0001,1099,000,1724,452,183,252,9.98,891,831
17,006,0001,1101,000,63,17,8,6,9.63,31,30
17,006,0001,1116,000,45,12,4,*,7.48,27,27
17,006,0001,1120,000,677,220,165,190,13.52,341,339
17,006,0001,1135,000,1217,311,104,151,8.76,695,676
17,006,0032,0000,000,4448,1172,474,601,9.2,2163,2139
17,006,0032,0866,000,4426,1165,470,599,9.2,2151,2127
17,006,0032,0921,000,22,7,4,*,8.94,12,12
17,006,0078,0000,000,2589,720,372,372,9.93,1272,1238
17,006,0078,0014,000,2050,523,202,197,8.75,1010,984
17,006,0078,0118,000,297,107,92,97,14.21,143,141
17,006,0078,0194,000,242,90,78,78,13.93,119,113
17,007,0000,0000,000,378476,114742,60176,83635,11.39,203425,198226
17,007,0001,0000,000,341029,104049,54292,76815,11.47,183525,178809
17,007,0001,0011,000,5509,1566,604,1042,10.64,2862,2785
17,007,0001,0026,000,1484,517,388,463,13.67,805,788
17,007,0001,0030,000,2949,828,321,537,10.72,1568,1522
17,007,0001,0045,000,4034,1295,819,1030,12.44,2256,2211
17,007,0001,005A,000,4655,1582,966,1319,12.95,2396,2351
17,007,0001,0064,000,4622,1440,830,1128,11.96,2482,2414
17,007,0001,0079,000,3683,1310,746,1098,12.97,2059,2000
17,007,0001,0083,000,4854,1555,904,1249,12.46,2647,2572
17,007,0001,012A,000,4133,1476,1036,1275,13.53,2237,2169
17,007,0001,0149,000,6144,2052,706,1356,11.17,3278,3205
17,007,0001,0153,000,2273,786,439,656,12.38,1148,1129
17,007,0001,0168,000,2609,881,456,647,11.88,1382,1344
17,007,0001,0172,000,652,219,182,202,13.9,377,364
17,007,0001,0187,000,630,227,180,205,13.55,339,338
17,007,0001,0191,000,750,269,249,258,14.18,378,373
17,007,0001,0204,000,1258,408,355,382,13.48,688,675
17,007,0001,0219,000,6343,1937,1014,1478,11.18,3322,3232
17,007,0001,0223,000,1194,439,223,325,11.7,701,686
17,007,0001,0242,000,635,247,93,197,12.76,384,375
17,007,0001,0257,000,1423,547,133,396,12.12,843,824
17,007,0001,0261,000,3649,1188,579,881,12.26,1866,1832
17,007,0001,0280,000,678,217,155,183,12.2,418,408
17,007,0001,0295,000,1741,649,576,608,13.8,889,870
17,007,0001,0308,000,5222,1626,925,1336,12.24,2739,2669
17,007,0001,0312,000,2860,865,520,699,12.09,1417,1379
17,007,0001,0327,000,812,295,111,221,12.49,463,451
17,007,0001,0331,000,722,291,115,215,12.68,426,416
17,007,0001,0346,000,2282,816,448,636,13.12,1248,1213
17,007,0001,0350,000,2962,1002,562,757,12.42,1565,1512
17,007,0001,0365,000,1528,558,299,409,12.89,845,832
17,007,0001,037A,000,1900,783,492,690,13.85,1105,1075
17,007,0001,0401,000,4260,1416,852,1112,12.64,2371,2327
17,007,0001,0416,000,5741,1841,1046,1393,11.55,3259,3220
17,007,0001,044A,000,3054,820,324,584,10.28,1734,1696
17,007,0001,0454,000,2053,551,228,352,10.15,1008,981
17,007,0001,0492,000,1487,475,352,408,13.24,756,734
17,007,0001,0505,000,1277,491,403,456,14.1,670,638
17,007,0001,051A,000,6076,1649,714,1039,10.09,3358,3288
17,007,0001,0524,000,6013,1744,779,1191,10.77,3393,3301
17,007,0001,0543,000,3354,908,416,644,10.8,1760,1691
17,007,0001,0558,000,7530,2166,966,1490,10.81,4022,3937
17,007,0001,0562,000,9449,2601,1314,1794,10.74,5150,4981
17,007,0001,0577,000,3108,872,488,627,11.15,1705,1663
17,007,0001,0581,000,3523,980,526,676,10.7,1890,1841
17,007,0001,0596,000,1597,439,235,319,10.54,838,815
17,007,0001,0609,000,1340,411,265,324,12.03,693,667
17,007,0001,0666,000,2541,733,503,578,11.55,1351,1317
17,007,0001,0670,000,6700,2218,1538,1824,12.85,3709,3622
17,007,0001,0685,000,4353,1289,480,773,9.94,2397,2369
17,007,0001,069A,000,3761,1021,417,662,10.08,2012,1953
17,007,0001,0717,000,4653,1465,970,1253,12.51,2382,2292
17,007,0001,0721,000,2498,796,650,711,13.3,1273,1224
17,007,0001,0736,000,160,59,52,56,14.01,96,94
17,007,0001,0740,000,410,160,152,157,14.62,219,215
17,007,0001,076A,000,2906,757,350,559,10.57,1653,1609
17,007,0001,0806,000,3427,946,394,590,9.69,1760,1718
17,007,0001,0810,000,3403,977,342,566,9.69,1807,1761
17,007,0001,0825,000,3035,852,311,489,9.76,1631,1583
17,007,0001,083A,000,2376,710,212,415,10.02,1334,1300
17,007,0001,0844,000,2495,807,524,651,11.91,1438,1414
17,007,0001,0859,000,2722,845,336,642,11.44,1548,1500
17,007,0001,0863,000,1590,517,216,395,12.14,895,869
17,007,0001,0878,000,1478,490,165,373,12.17,818,778
17,007,0001,0882,000,1940,611,254,422,11.1,1080,1041
17,007,0001,0897,000,956,323,134,253,12.06,567,541
17,007,0001,0967,000,546,166,131,151,13.29,277,272
17,007,0001,0971,000,2906,843,284,523,10.41,1487,1453
17,007,0001,0986,000,3987,1161,517,813,11.3,2105,2050
17,007,0001,0990,000,3656,1251,494,826,11.45,2098,2004
17,007,0001,1005,000,5061,1541,756,1156,11.51,2752,2685
17,007,0001,101A,000,1694,605,533,574,14.37,945,929
17,007,0001,1024,000,2297,656,288,396,10.03,1328,1315
17,007,0001,1039,000,6258,2051,1609,1754,13.49,3300,3206
17,007,0001,1062,000,2203,644,291,461,11.54,1146,1124
17,007,0001,1077,000,3045,873,359,556,10.52,1581,1530
17,007,0001,1081,000,3430,996,375,610,10.27,1809,1738
17,007,0001,1109,000,1868,570,300,417,11.49,960,924
17,007,0001,1113,000,3167,943,467,682,11,1845,1812
17,007,0001,1128,000,4045,1200,792,944,12.12,2199,2163
17,007,0001,1132,000,1509,537,388,473,13.56,759,744
17,007,0001,1147,000,2424,800,528,651,12.44,1310,1274
17,007,0001,1151,000,3059,916,518,709,11.36,1565,1527
17,007,0001,1166,000,4529,1302,559,898,10.64,2364,2298
17,007,0001,1217,000,1999,617,380,509,12.44,1102,1079
17,007,0001,1221,000,3074,991,688,833,13.06,1574,1549
17,007,0001,1236,000,4585,1552,985,1230,12.36,2649,2598
17,007,0001,1240,000,1555,515,382,440,13.05,780,758
17,007,0001,1255,000,2708,838,360,561,10.7,1488,1449
17,007,0001,126A,000,3232,985,522,736,11.47,1794,1755
17,007,0001,1274,000,2305,651,391,517,11.72,1162,1118
17,007,0001,1289,000,2480,782,460,592,11.47,1277,1248
17,007,0001,1293,000,2566,756,336,483,10.7,1326,1276
17,007,0001,1306,000,2161,623,283,397,10.67,1123,1088
17,007,0001,1310,000,3368,899,275,530,9.12,1817,1749
17,007,0001,1325,000,3700,954,292,604,9.35,1966,1914
17,007,0001,133A,000,2691,755,223,484,9.54,1379,1343
17,007,0001,1344,000,1762,545,261,395,11.01,1010,987
17,007,0001,1359,000,1794,522,215,348,10.79,1109,1096
17,007,0001,1363,000,1432,361,122,221,9.1,768,744
17,007,0001,1378,000,5424,1535,535,993,10.13,2723,2666
17,007,0001,1382,000,9,5,5,5,12.56,7,7
17,007,0001,1397,000,2336,632,299,400,9.57,1305,1268
17,007,0001,140A,000,7129,2100,1045,1584,11.66,3676,3579
17,007,0001,1414,000,5425,1718,882,1365,11.63,2905,2824
17,007,0001,1429,000,2240,665,431,535,12.39,1194,1161
17,007,0001,1433,000,1537,523,256,405,12.24,910,897
17,007,0001,1448,000,3972,1175,436,778,10.75,2164,2123
17,007,0001,1452,000,4639,1009,129,409,7.51,2378,2355
17,007,0001,1467,000,91,35,34,35,15.15,49,48
17,007,0001,1471,000,265,70,39,38,11.08,147,144
17,007,0001,1486,000,191,53,39,46,11.97,104,100
17,007,0001,1490,000,35,12,10,11,12.64,21,21
17,007,0001,1503,000,2975,858,419,556,10.57,1556,1501
17,007,0001,1518,000,2182,628,520,576,13.35,971,944
17,007,0001,1556,000,4508,1288,633,842,10.62,2502,2408
17,007,0001,1560,000,5120,1428,836,1062,11.17,2829,2752
17,007,0001,1607,000,399,103,46,45,8.54,220,218
17,007,0075,0000,000,3641,923,368,526,9.57,1965,1896
17,007,0075,1611,000,3641,923,368,526,9.57,1965,1896
17,007,0094,0000,000,2697,694,306,424,9.37,1440,1392
17,007,0094,0100,000,1115,292,132,174,9.42,622,597
17,007,0094,0115,000,1582,402,174,250,9.33,818,795
17,007,0125,0000,000,9522,3292,2409,2891,13.52,5300,5171
17,007,0125,1522,000,1673,628,446,563,13.96,958,939
17,007,0125,1537,000,1676,598,429,536,13.8,932,903
17,007,0125,1541,000,1636,591,425,517,13.99,1004,987
17,007,0125,1575,000,178,91,84,87,15.09,116,115
17,007,0125,158A,000,2135,734,653,694,14.69,1054,1032
17,007,0125,1594,000,2224,650,372,494,11.35,1236,1195
17,008,0000,0000,000,107053,31160,13871,19106,10.12,56063,54470
17,008,0001,0000,000,64084,18001,7033,10158,9.66,33281,32316
17,008,0001,0019,000,0,*,0,0,0.00,0,0
17,008,0001,0038,000,4664,1272,374,680,9.3,2370,2325
17,008,0001,0112,000,3048,803,223,389,8.59,1596,1533
17,008,0001,0131,000,8597,2764,1805,2051,12.05,4388,4280
17,008,0001,0146,000,5502,1531,624,891,9.66,2847,2751
17,008,0001,0150,000,2201,551,141,248,8.38,1121,1083
17,008,0001,0165,000,2039,507,166,198,8.41,1052,1019
17,008,0001,0184,000,3394,875,213,417,8.32,1823,1767
17,008,0001,0201,000,4480,1249,380,601,9.18,2425,2377
17,008,0001,0235,000,6230,1761,477,867,8.84,3212,3099
17,008,0001,024A,000,3629,934,319,457,8.46,1778,1724
17,008,0001,0254,000,3938,981,320,462,8.38,1986,1951
17,008,0001,0305,000,1202,299,68,144,8.79,657,620
17,008,0001,031A,000,70,20,6,8,7.47,34,34
17,008,0001,0343,000,5558,1669,800,1099,11.06,2885,2825
